Player,Year,Minutos_Jugados,Puntos_Totales,Tiros_Campo_Encestados,Tiros_Campo_Intentados,Triples_Encestados,Triples_Intentados,Tiros_Libres_Encestados,Tiros_Libres_Intentados,Rebotes_Ofensivos,Rebotes_Defensivos,Rebotes_Totales,Asistencias,Robos,Bloqueos,Pérdidas,Faltas_Personales,Victorias,Derrotas,Doble_Dobles,Triple_Dobles
?an Tabak,1995,4.9,2.0,0.6,1.4,0.0,0.0,0.7,1.2,0.6,0.9,1.5,0.1,0.1,0.2,0.5,1.0,0,0,1,0
?an Tabak,1996,19.9,7.7,3.4,6.2,0.0,0.0,1.0,1.7,1.7,3.0,4.8,0.9,0.4,0.5,1.5,3.0,0,0,1,1
?an Tabak,1997,16.8,6.5,2.5,5.5,0.0,0.0,1.5,2.2,1.5,2.2,3.8,1.1,0.5,0.8,1.6,2.7,0,0,1,1
?an Tabak,1998,49.5,15.100000000000001,6.9,14.8,0.0,0.0,1.2000000000000002,3.0,4.4,6.4,10.8,2.4,1.1,2.0,3.1,8.5,0,0,3,3
?an Tabak,2000,6.3,2.1,0.9,1.9,0.0,0.0,0.3,0.4,0.9,0.9,1.8,0.2,0.2,0.5,0.6,0.7,0,0,1,0
?an Tabak,2001,14.1,3.9,1.8,3.4,0.0,0.0,0.4,0.9,1.2,2.7,3.9,0.6,0.2,0.5,1.0,2.3,0,0,1,1
?arko ?abarkapa,2004,11.6,4.1,1.7,4.0,0.1,0.7,0.7,1.1,0.5,1.5,2.0,0.8,0.2,0.3,1.1,1.5,0,0,1,1
?arko ?abarkapa,2005,28.1,15.2,5.7,11.3,0.7,1.9,3.0,3.6,2.5,3.8,6.300000000000001,1.2999999999999998,0.6,0.2,1.6,3.1,0,0,2,2
?arko ?abarkapa,2006,8.3,3.3,1.1,2.9,0.1,0.3,1.0,1.4,0.6,1.2,1.8,0.3,0.2,0.1,0.6,1.4,0,0,1,1
?eljko Rebra?a,2002,15.9,6.9,2.6,5.1,0.0,0.0,1.8,2.4,1.1,2.8,3.9,0.5,0.4,1.0,1.1,2.6,0,0,1,1
?eljko Rebra?a,2003,16.3,6.6,2.7,4.8,0.0,0.0,1.3,1.6,0.9,2.2,3.1,0.3,0.2,0.6,1.0,2.6,0,0,1,1
?eljko Rebra?a,2004,39.0,15.200000000000001,6.4,13.5,0.0,0.0,2.3,3.3,3.2,4.6,7.699999999999999,1.2,0.4,1.6,2.6,6.6,0,0,2,1
?eljko Rebra?a,2005,16.0,5.8,2.3,4.0,0.0,0.0,1.3,1.5,0.8,2.3,3.2,0.4,0.2,0.7,0.8,2.2,0,0,1,1
?eljko Rebra?a,2006,14.2,4.7,1.8,3.3,0.0,0.0,1.1,1.4,0.4,1.8,2.2,0.3,0.2,0.7,0.8,2.0,0,0,1,1
A.C. Green,1991,26.4,9.1,3.1,6.6,0.1,0.7,2.7,3.7,2.5,3.8,6.3,0.9,0.7,0.3,1.2,1.4,0,0,1,1
A.C. Green,1992,35.4,13.6,4.7,9.8,0.1,0.7,4.1,5.6,3.7,5.6,9.3,1.4,1.1,0.4,1.4,1.7,0,0,1,1
A.C. Green,1993,34.4,12.8,4.6,8.6,0.2,0.6,3.4,4.6,3.5,5.2,8.7,1.4,1.1,0.5,1.4,1.8,0,0,1,1
A.C. Green,1994,34.5,14.7,5.7,11.3,0.1,0.4,3.2,4.4,3.4,5.8,9.2,1.7,0.9,0.5,1.2,1.7,0,0,1,1
A.C. Green,1995,32.8,11.2,3.8,7.5,0.5,1.5,3.1,4.2,2.4,5.8,8.2,1.5,0.7,0.4,1.4,1.8,0,0,1,1
A.C. Green,1996,25.8,7.5,2.6,5.4,0.2,0.6,2.0,2.9,2.0,4.7,6.8,0.9,0.5,0.3,1.0,1.7,0,0,1,1
A.C. Green,1997,85.0,20.8,8.2,16.9,0.0,0.6,4.3,6.9,7.3,15.0,22.3,2.3,2.4,0.5,2.6,5.0,0,0,3,3
